iter	Poisson
0	-7.669554868
1	-15.80569402
2	-23.42522356
3	-30.55686111
4	-37.23341618
5	-43.46962351
6	-49.28531226
7	-54.70626283
8	-59.7540255
9	-64.44102255
10	-68.79175304
11	-72.828686
12	-76.5657679
13	-80.02334214
14	-83.21448354
15	-86.1573261
16	-88.86214495
17	-91.35217533
18	-93.63658751
19	-95.73582677
20	-97.65504936
21	-99.41214962
22	-101.0187981
23	-102.4846685
24	-103.8186019
25	-105.0385256
26	-106.1453977
27	-107.1528788
28	-108.0689115
29	-108.8965077
30	-109.6505878
31	-110.3319058
32	-110.9485074
33	-111.5066227
34	-112.0107912
35	-112.4657162
36	-112.8752377
37	-113.2450958
38	-113.5792476
39	-113.880497
40	-114.1534854
41	-114.4005746
42	-114.6197817
43	-114.8181078
44	-114.9984082
45	-115.1593169
46	-115.3063795
47	-115.4373595
48	-115.5552136
49	-115.6622668
50	-115.7557862
51	-115.8409146
52	-115.9172206
53	-115.9865381
54	-116.0473522
55	-116.1026913
56	-116.1558913
57	-116.2009543
58	-116.2431202
59	-116.2814265
60	-116.31528
61	-116.3483134
62	-116.376535
63	-116.4036812
64	-116.4324477
65	-116.4555543
66	-116.4740883
67	-116.4942353
68	-116.5120137
69	-116.5275782
70	-116.5432473
71	-116.5578417
72	-116.5720198
73	-116.5840286
74	-116.595131
75	-116.6070075
76	-116.6171065
77	-116.6257494
78	-116.6375175
79	-116.6451167
80	-116.6539
