iter	Passed	Remaining
0	9	765
1	19	773
2	28	746
3	38	744
4	48	738
5	57	721
6	71	751
7	82	749
8	91	735
9	102	729
10	112	715
11	121	698
12	131	688
13	140	673
14	152	670
15	162	660
16	171	645
17	181	635
18	190	620
19	198	605
20	207	592
21	216	580
22	225	567
23	234	556
24	243	544
25	252	533
26	261	522
27	269	510
28	280	502
29	291	494
30	299	483
31	309	474
32	319	464
33	327	452
34	336	442
35	346	433
36	355	422
37	363	411
38	372	401
39	381	391
40	390	381
41	400	371
42	409	361
43	417	350
44	426	341
45	435	331
46	445	321
47	454	312
48	464	303
49	473	293
50	483	284
51	492	274
52	501	265
53	511	255
54	521	246
55	531	237
56	539	227
57	549	217
58	557	208
59	567	198
60	576	188
61	585	179
62	594	169
63	603	160
64	616	151
65	628	142
66	640	133
67	651	124
68	660	114
69	671	105
70	680	95
71	690	86
72	698	76
73	708	67
74	717	57
75	727	47
76	737	38
77	746	28
78	755	19
79	764	9
80	774	0
